,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized,Recomendacao_Planejamento
124,125,B125,H125,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1636,2,24,1.0,26.0,13.0,52159,24
125,126,B126,H126,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1631,2,24,1.0,16.0,8.0,27198,24
126,127,B127,H127,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1382,1,24,1.0,14.0,7.0,25641,24
127,128,B128,H128,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1489,1,24,1.0,26.0,13.0,51104,24
128,129,B129,H129,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,1.0,18.0,9.0,28206,24
129,130,B130,H130,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1274,1,24,1.0,12.0,6.0,26110,24
130,131,B131,H131,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1769,1,24,1.0,24.0,12.0,53667,24
131,132,B132,H132,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1818,2,24,1.0,14.0,7.0,27483,24
132,133,B133,H133,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1596,1,24,1.0,16.0,8.0,28890,24
133,134,B134,H134,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1468,1,24,1.0,44.0,22.0,51901,24
134,135,B135,H135,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,959,2,24,1.0,28.0,14.0,52280,24
135,136,B136,H136,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1518,2,24,1.0,32.0,16.0,53490,24
136,137,B137,H137,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1359,2,24,1.0,34.0,17.0,51188,24
137,138,B138,H138,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1224,2,24,1.0,34.0,17.0,52484,24
138,139,B139,H139,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1255,2,24,1.0,14.0,7.0,28310,24
139,140,B140,H140,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1644,1,24,1.0,16.0,8.0,27611,24
140,141,B141,H141,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1403,1,24,1.0,30.0,15.0,54391,24
141,142,B142,H142,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1474,2,24,1.0,34.0,17.0,52944,24
142,143,B143,H143,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1266,2,24,1.0,16.0,8.0,26981,24
143,144,B144,H144,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1371,1,24,1.0,36.0,18.0,52870,24
144,145,B145,H145,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1194,2,24,1.0,28.0,14.0,53830,24
145,146,B146,H146,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1563,2,24,1.0,30.0,15.0,51476,24
146,147,B147,H147,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1395,2,24,1.0,20.0,10.0,53849,24
147,148,B148,H148,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,2189,2,24,1.0,14.0,7.0,26243,24
148,149,B149,H149,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1524,1,24,1.0,14.0,7.0,28258,24
149,150,B150,H150,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1641,1,24,0,0.0,0,0,24
